Experiment,Tray,F0 food,F1 food,Rep,Clone,E,I?,I.D.,#clutches (up to d37),DOB,DOD,days.alive,Notes,Lifetime # clutches,C1 Date,C1 Full Date,C1 Formatted Date,C1 Days,C1 #,C2,C2 Full Date,C2 day,C2 #,C2 cumulative #,C3,C3 full date,C3 day,C3#,C3 cumulative #,C4,C4 Full Date,C4 day,C4#,C4 cumulative #,C5,C5 day,C5#,C5 cumulative #,C6,C6 day,C6#,C6 cumulative #,C7,C7 day,C7#,C7 cumulative #,C8,C8 day,C8#,C8 cumulative #,C9,C9 day,C9#,C9 cumulative #,C10,C10 day,C10#,C10 cumulative #,C11,C11 day,C11#,C11 cumulative #,C12,C12 day,C12#,C12 cumulative #,C13,C13 day,C13#,C13 cumulative #,C14,C14 day,C14#,C14 cumulative #,C15,C15 day,C15#,C15 cumulative #,C16,C16 day,C16#,C16 cumulative #,C17,C17 day,C17#,C17 cumulative #,C18,C18 day,C18#,C18 cumulative #,C19,C19 day,C19#,C19 cumulative #,C20,C20 day,C20#,C20 cumulative #,C21,C21 day,C21#,C21 cumulative #,C22,C22 day,C22#,C22 cumulative #,C23,C23 day,C23#,C23 cumulative #,C24,C24 day,C24#,C24 cumulative #,C25,C25 day,C25#,C25 cumulative #,Lifetime offpsring #
Fiona,8,H,H,18,32,E,1,137,2,02/18/2014 00:00,04/03/14 00:00,45,,2,28-Feb,28/02/14,28/02/14,10,22,03-Mar,03/03/14,15,6,28,,/2014,,,28,,/2014,,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,,-41088,,28,28
Fiona,16,H,H,33,32,E,1,263,2,02/20/2014 00:00,04/04/14 00:00,44,,2,28-Feb,28/02/14,28/02/14,8,9,03-Mar,03/03/14,13,6,15,,/2014,,,15,,/2014,,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,,-41090,,15,15
Fiona,11,H,H,22,32,E,1,173,2,02/19/2014 00:00,04/04/14 00:00,45,,2,01-Mar,01/03/14,01/03/14,12,13,05-Mar,05/03/14,16,13,26,,/2014,,,26,,/2014,,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,,-41089,,26,26
Fiona,5,H,L,11,32,E,1,79,2,02/17/2014 00:00,04/05/14 00:00,48,,2,26-Feb,26/02/14,26/02/14,9,5,06-Mar,06/03/14,19,1,6,,/2014,,,6,,/2014,,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,,-41087,,6,6
Fiona,1,H,L,1,32,E,1,1,1,02/16/2014 00:00,04/06/14 00:00,50,,1,27-Feb,27/02/14,27/02/14,11,4,,/2014,,,4,,/2014,,,4,,/2014,,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,,-41086,,4,4
Fiona,7,L,L,7,32,E,1,106,1,02/18/2014 00:00,04/07/14 00:00,49,,1,28-Feb,28/02/14,28/02/14,10,4,,/2014,,,4,,/2014,,,4,,/2014,,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,4
Fiona,8,H,L,18,32,E,1,136,1,02/18/2014 00:00,04/08/14 00:00,50,,1,01-Mar,01/03/14,01/03/14,13,3,,/2014,,,3,,/2014,,,3,,/2014,,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,,-41088,,3,3
Fiona,17,L,H,34,32,E,1,277,1,02/21/2014 00:00,04/08/14 00:00,47,,1,03/03/14,,03/03/14,12,19,,/2014,,,19,,/2014,,,19,,/2014,,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,,-41091,,19,19
Fiona,4,H,H,9,32,E,1,61,2,02/17/2014 00:00,04/08/14 00:00,51,,2,27-Feb,27/02/14,27/02/14,10,10,02-Mar,02/03/14,15,11,21,,/2014,,,21,,/2014,,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,,-41087,,21,21
Fiona,5,L,L,3,32,E,1,67,2,02/17/2014 00:00,04/08/14 00:00,51,,2,26-Feb,26/02/14,26/02/14,9,5,02-Mar,02/03/14,15,8,13,,/2014,,,13,,/2014,,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,13
Fiona,3,H,L,8,32,E,1,43,3,02/17/2014 00:00,04/08/14 00:00,51,,3,26-Feb,26/02/14,26/02/14,9,8,03-Mar,03/03/14,16,5,13,06-Mar,06/03/14,19,4,17,,/2014,,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,,-41087,,17,17
Fiona,2,H,L,14,32,E,1,23,2,02/17/2014 00:00,04/09/14 00:00,52,,2,27-Feb,27/02/14,27/02/14,10,6,02-Mar,02/03/14,15,6,12,,/2014,,,12,,/2014,,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,,-41087,,12,12
Fiona,12,L,L,22,32,E,1,181,2,02/19/2014 00:00,04/09/14 00:00,50,,2,28-Feb,28/02/14,28/02/14,9,3,04-Mar,04/03/14,15,1,4,,/2014,,,4,,/2014,,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,4
Fiona,8,L,L,6,32,E,1,122,1,02/18/2014 00:00,04/10/14 00:00,52,,1,28-Feb,28/02/14,28/02/14,10,4,,/2014,,,4,,/2014,,,4,,/2014,,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,,-41088,,4,4
Fiona,8,L,H,6,32,E,1,123,2,02/18/2014 00:00,04/10/14 00:00,52,,2,27-Feb,27/02/14,27/02/14,9,23,03-Mar,03/03/14,15,9,32,,/2014,,,32,,/2014,,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,,-41088,,32,32
Fiona,8,L,H,9,32,E,1,126,2,02/18/2014 00:00,04/10/14 00:00,52,,2,27-Feb,27/02/14,27/02/14,9,15,03-Mar,03/03/14,15,11,26,,/2014,,,26,,/2014,,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,,-41088,,26,26
Fiona,11,L,L,18,32,E,1,163,2,02/19/2014 00:00,04/10/14 00:00,51,,2,02-Mar,02/03/14,02/03/14,13,3,06-Mar,06/03/14,17,6,9,,/2014,,,9,,/2014,,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,,-41089,,9,9
Fiona,15,L,L,24,32,E,1,242,3,02/20/2014 00:00,04/10/14 00:00,50,,3,01-Mar,01/03/14,01/03/14,11,3,05-Mar,05/03/14,15,6,9,08-Mar,08/03/14,18,5,14,,/2014,,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,,-41090,,14,14
Fiona,13,H,L,29,32,E,1,214,1,02/20/2014 00:00,04/11/14 00:00,51,,1,03-Mar,03/03/14,03/03/14,13,3,,/2014,,,3,,/2014,,,3,,/2014,,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,,-41090,,3,3
Fiona,16,L,L,31,32,E,1,259,1,02/20/2014 00:00,04/11/14 00:00,51,,1,01-Mar,01/03/14,01/03/14,11,5,,/2014,,,5,,/2014,,,5,,/2014,,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,5
Fiona,4,H,L,9,32,E,1,62,2,02/17/2014 00:00,04/11/14 00:00,54,,2,28-Feb,28/02/14,28/02/14,11,2,03-Mar,03/03/14,16,5,7,,/2014,,,7,,/2014,,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,,-41087,,7,7
Fiona,10,H,H,24,32,E,1,162,2,02/19/2014 00:00,04/11/14 00:00,52,,2,28-Feb,28/02/14,28/02/14,9,8,04-Mar,04/03/14,15,13,21,,/2014,,,21,,/2014,,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,,-41089,,21,21
Fiona,10,L,L,19,32,E,1,150,2,02/19/2014 00:00,04/11/14 00:00,52,,2,02-Mar,02/03/14,02/03/14,13,2,06-Mar,06/03/14,17,3,5,,/2014,,,5,,/2014,,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,5
Fiona,12,L,L,23,32,E,1,186,1,02/19/2014 00:00,04/12/14 00:00,53,,1,28-Feb,28/02/14,28/02/14,9,4,,/2014,,,4,,/2014,,,4,,/2014,,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,,-41089,,4,4
Fiona,3,H,L,3,32,E,1,32,2,02/17/2014 00:00,04/12/14 00:00,55,,2,27-Feb,27/02/14,27/02/14,10,8,03-Mar,03/03/14,16,5,13,,/2014,,,13,,/2014,,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,,-41087,,13,13
Fiona,15,L,L,26,32,E,1,251,2,02/20/2014 00:00,04/12/14 00:00,52,,2,01-Mar,01/03/14,01/03/14,11,3,05-Mar,05/03/14,15,5,8,,/2014,,,8,,/2014,,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,,-41090,,8,8
Fiona,17,L,H,32,32,E,1,270,2,02/21/2014 00:00,04/12/14 00:00,51,,2,03/02/14,,03/02/14,11,17,05-Mar,05/03/14,14,19,36,,/2014,,,36,,/2014,,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,,-41091,,36,36
Fiona,16,H,H,34,32,E,1,266,3,02/20/2014 00:00,04/12/14 00:00,52,,3,01-Mar,01/03/14,01/03/14,11,15,04-Mar,04/03/14,14,16,31,09-Mar,09/03/14,19,5,36,,/2014,,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,,-41090,,36,36
Fiona,13,H,L,31,32,E,1,218,2,02/20/2014 00:00,04/13/2014 00:00,53,,2,03-Mar,03/03/14,03/03/14,13,4,06-Mar,06/03/14,16,1,5,,/2014,,,5,,/2014,,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,,-41090,,5,5
Fiona,17,L,L,34,32,E,1,278,2,02/21/2014 00:00,04/13/2014 00:00,52,,2,03/02/14,,03/02/14,11,8,03/06/14,03/06/14,15,4,12,,/2014,,,12,,/2014,,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,,-41091,,12,12
Fiona,6,L,L,10,32,E,1,85,1,02/18/2014 00:00,04/14/2014 00:00,56,,1,28-Feb,28/02/14,28/02/14,10,,,/2014,,,0,,/2014,,,0,,/2014,,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,,-41088,,0,0
Fiona,9,L,L,15,32,E,1,141,1,02/18/2014 00:00,04/14/2014 00:00,56,,1,01-Mar,01/03/14,01/03/14,13,5,,/2014,,,5,,/2014,,,5,,/2014,,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,,-41088,,5,5
Fiona,20,L,L,38,32,E,1,309,1,02/23/2014 00:00,04/14/2014 00:00,51,,1,03/06/14,,03/06/14,13,3,,/2014,,,3,,/2014,,,3,,/2014,,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,,-41093,,3,3
Fiona,3,H,L,7,32,E,1,41,2,02/17/2014 00:00,04/14/2014 00:00,57,,2,26-Feb,26/02/14,26/02/14,9,11,02-Mar,02/03/14,15,5,16,,/2014,,,16,,/2014,,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,,-41087,,16,16
Fiona,12,H,L,26,32,E,1,193,2,02/19/2014 00:00,04/14/2014 00:00,55,,2,02-Mar,02/03/14,02/03/14,13,3,06-Mar,06/03/14,17,2,5,,/2014,,,5,,/2014,,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,,-41089,,5,5
Fiona,19,H,L,37,32,E,1,297,1,02/22/2014 00:00,04/15/2014 00:00,53,,1,03/04/14,,03/04/14,12,5,,/2014,,,5,,/2014,,,5,,/2014,,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,,-41092,,5,5
